_start,_stop,_time,_value,_field,_measurement,location,state
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:00:38.257018Z,ABSM0002,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:01:05.476953Z,ABSM0003,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:01:28.927038Z,ABSM0004,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:01:52.232019Z,ABSM0005,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:02:18.762077Z,ABSM0006,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:15:07.026954Z,ABSM0007,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:15:47.644024Z,ABSM0008,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:16:12.833998Z,ABSM0009,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:16:44.635011Z,ABSM0010,id,tracking,Goods In,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-23T14:41:39.9853Z,t16,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:20:03.800793Z,ORBOX0014,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:20:05.438921Z,ORBOX00116,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:03:07.672706Z,ORBOX0011,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:03:08.860706Z,ORBOX0013,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:55:20.353698Z,ORBOX0017,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:55:21.380701Z,ORBOX0016,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:40:15.27457Z,ORBOX0015,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:40:16.33565Z,ORBOX00115,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:24:51.187426Z,ORBOX00119,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:24:52.340522Z,ORBOX0012,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T18:10:09.611388Z,ORBOX00118,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T18:10:10.414461Z,ORBOX00117,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:26:42.831276Z,ORBOX00120,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:26:44.051174Z,ORBOX00121,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:08:36.371232Z,ORBOX00114,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:08:37.9752Z,ORBOX00122,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:50:43.807006Z,ORBOX00111,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:50:45.12207Z,ORBOX00113,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T21:32:17.382962Z,ORBOX0019,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T21:32:18.376922Z,ORBOX0018,id,tracking,Goods Out Warehouse,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-23T14:38:44.837262Z,t16,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:38:21.06795Z,3DOR10001,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:42:46.279926Z,3DOR10002,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:46:54.902901Z,3DOR10003,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:50:46.902853Z,3DOR10004,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T13:59:18.753925Z,3DOR10006,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:03:43.420978Z,3DOR10007,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:07:28.553962Z,3DOR10008,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:12:01.531895Z,3DOR10009,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:15:38.324904Z,3DOR100010,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:21:45.641904Z,3DOR100011,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:26:26.031837Z,3DOR100012,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:30:24.931896Z,3DOR100013,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:34:16.258904Z,3DOR100014,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:38:07.810805Z,3DOR100015,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:42:02.730848Z,3DOR100016,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:45:44.816919Z,3DOR100017,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:51:34.522731Z,3DOR100018,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T14:56:11.73687Z,3DOR100019,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:00:29.118846Z,3DOR100020,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:13:34.217683Z,3DOR100021,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:17:27.597675Z,3DOR100022,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:21:42.252771Z,3DOR100023,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:25:55.560783Z,3DOR100024,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:29:49.101757Z,3DOR100025,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:39:03.285632Z,3DOR100027,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:39:03.927631Z,3DOR100026,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:43:29.139746Z,3DOR100028,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:47:34.938616Z,3DOR100029,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T15:51:57.00671Z,3DOR100030,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:03:27.908697Z,3DOR100032,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:07:38.520575Z,3DOR100033,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:11:34.821567Z,3DOR100035,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:15:59.552661Z,3DOR100034,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:20:04.292551Z,3DOR100036,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:24:20.68064Z,3DOR100037,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:28:24.714632Z,3DOR100038,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:32:29.037647Z,3DOR100039,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:36:23.349517Z,3DOR100040,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:45:37.31165Z,3DOR100041,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:50:17.509493Z,3DOR100042,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:54:25.104574Z,3DOR100043,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T16:58:46.434601Z,3DOR100044,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:02:28.327464Z,3DOR100045,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:06:53.764558Z,3DOR100046,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:11:14.195448Z,3DOR100047,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:15:02.089562Z,3DOR100048,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:19:00.219431Z,3DOR100049,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:22:37.844557Z,3DOR100050,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:29:27.429511Z,3DOR100051,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:36:04.280396Z,3DOR100052,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:39:46.590438Z,3DOR100053,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:43:42.088516Z,3DOR100054,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:47:42.175373Z,3DOR100055,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:51:36.069366Z,3DOR100056,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:55:40.143482Z,3DOR100057,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T17:59:12.88335Z,3DOR100058,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T18:03:06.199348Z,3DOR100059,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T18:06:58.104365Z,3DOR100060,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T18:48:22.65637Z,3DOR100061,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T18:52:06.281272Z,3DOR100062,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T18:55:52.602322Z,3DOR100063,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T18:59:55.83436Z,3DOR100064,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:03:50.466347Z,3DOR100065,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:07:23.149215Z,3DOR100066,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:11:23.525307Z,3DOR100067,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:15:16.648198Z,3DOR100068,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:19:03.83619Z,3DOR100069,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:23:03.506279Z,3DOR100070,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:31:08.889297Z,3DOR100071,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:34:54.665158Z,3DOR100072,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:38:45.606149Z,3DOR100073,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:42:33.981141Z,3DOR100074,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:46:27.522255Z,3DOR100075,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:50:25.973125Z,3DOR100076,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:54:01.576206Z,3DOR100077,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T19:57:36.377207Z,3DOR100078,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:01:15.767215Z,3DOR100079,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:05:12.48522Z,3DOR100080,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:13:00.856161Z,3DOR100081,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:16:47.658178Z,3DOR100082,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:20:57.695066Z,3DOR1000103,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:24:31.884142Z,3DOR100084,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:28:10.311165Z,3DOR100085,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:32:01.60613Z,3DOR100086,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:35:58.677084Z,3DOR100087,id,tracking,Job End Buffer,entered
2024-10-07T13:55:51.1332528Z,2024-11-06T13:55:51.1332528Z,2024-10-28T20:39:40.153088Z,3DOR100088,id,tracking,Job End Buffer,entered
