Machine,Start Time,End Time,Duration (s)
Printer_9,2024-10-23T13:52:54.277505,2024-10-23T13:53:02.313450,8.035945
Printer_9,2024-10-23T13:54:06.876961,2024-10-23T13:54:22.954393,16.077432
Printer_9,2024-10-23T13:55:57.450917,2024-10-23T13:56:06.542366,9.091449
Printer_7,2024-10-23T13:55:54.647841,2024-10-23T13:56:10.785428,16.137587
Printer_8,2024-10-23T13:55:55.917014,2024-10-23T13:56:11.994617,16.077603
Printer_9,2024-10-23T14:16:03.943863,2024-10-23T14:16:12.987238,9.043375
Printer_10,2024-10-23T14:16:05.880395,2024-10-23T14:16:18.989597,13.109202
Printer_8,2024-10-23T14:20:48.025844,2024-10-23T14:20:57.073187,9.047343
Printer_9,2024-10-23T14:20:49.223462,2024-10-23T14:21:05.302470,16.079008
Printer_10,2024-10-23T14:20:50.280186,2024-10-23T14:21:09.655653,19.375467
Printer_7,2024-10-23T14:22:20.908672,2024-10-23T14:22:29.951931,9.043259
Printer_6,2024-10-23T14:22:19.743634,2024-10-23T14:22:35.841320,16.097686
Printer_8,2024-10-23T14:23:17.907189,2024-10-23T14:23:26.960125,9.052936
Printer_7,2024-10-23T14:23:16.550604,2024-10-23T14:23:31.626843,15.076239
Printer_9,2024-10-23T14:24:47.518774,2024-10-23T14:25:04.683885,17.165111
Printer_10,2024-10-23T14:24:48.495031,2024-10-23T14:25:09.629769,21.134738
Printer_5,2024-10-23T16:39:15.692885,2024-10-23T16:39:21.726607,6.033722
Printer_1,2024-10-23T16:39:14.409945,2024-10-23T16:39:32.509941,18.099996
Printer_1,2024-10-25T15:57:53.875471,2024-10-25T15:57:59.899595,6.024124
Printer_1,2024-10-25T16:57:48.171165,2024-10-25T16:58:00.187132,12.015967
Printer_1,2024-10-25T17:08:05.596248,2024-10-25T17:42:18.389534,2052.793286
Printer_1,2024-10-28T12:58:13.622602,2024-10-28T13:33:15.474158,2101.851556
Printer_2,2024-10-28T13:03:47.962265,2024-10-28T13:36:02.731142,1934.768877
Printer_3,2024-10-28T13:06:09.854872,2024-10-28T13:38:43.936634,1954.081762
Printer_5,2024-10-28T13:10:49.748708,2024-10-28T13:39:39.057605,1729.308897
Printer_4,2024-10-28T13:08:13.408974,2024-10-28T13:41:14.062164,1980.65319
Printer_6,2024-10-28T13:13:31.419434,2024-10-28T13:46:23.007496,1971.588062
Printer_9,2024-10-28T13:21:05.575022,2024-10-28T13:50:51.835232,1786.26021
Printer_8,2024-10-28T13:19:15.674572,2024-10-28T13:51:01.883639,1906.209067
Printer_7,2024-10-28T13:17:02.146428,2024-10-28T13:51:32.908720,2070.762292
Printer_10,2024-10-28T13:23:04.872935,2024-10-28T13:52:22.078292,1757.205357
Printer_1,2024-10-28T13:45:35.079757,2024-10-28T14:16:10.826471,1835.746714
Printer_2,2024-10-28T13:47:06.932559,2024-10-28T14:17:34.359650,1827.427091
Printer_3,2024-10-28T13:49:42.598119,2024-10-28T14:18:16.935528,1714.337409
Printer_4,2024-10-28T13:52:34.706510,2024-10-28T14:22:26.308025,1791.601515
Printer_5,2024-10-28T13:55:02.515002,2024-10-28T14:29:59.764889,2097.249887
Printer_6,2024-10-28T13:58:55.484670,2024-10-28T14:31:39.220416,1963.735746
Printer_7,2024-10-28T14:03:58.186131,2024-10-28T14:32:27.280742,1709.094611
Printer_8,2024-10-28T14:07:12.489252,2024-10-28T14:39:50.559548,1958.070296
Printer_9,2024-10-28T14:11:37.035679,2024-10-28T14:43:12.342202,1895.306523
Printer_10,2024-10-28T14:15:58.795177,2024-10-28T14:46:47.644300,1848.849123
Printer_1,2024-10-28T14:37:22.372456,2024-10-28T15:07:41.935638,1819.563182
Printer_2,2024-10-28T14:40:03.993427,2024-10-28T15:12:12.265942,1928.272515
Printer_3,2024-10-28T14:42:30.259163,2024-10-28T15:13:27.974194,1857.715031
Printer_4,2024-10-28T14:43:53.175969,2024-10-28T15:14:51.495114,1858.319145
Printer_5,2024-10-28T14:46:15.448119,2024-10-28T15:20:09.805100,2034.356981
Printer_6,2024-10-28T14:48:09.430671,2024-10-28T15:22:18.930105,2049.499434
Printer_8,2024-10-28T14:52:31.046411,2024-10-28T15:23:03.054106,1832.007695
Printer_7,2024-10-28T14:52:09.423274,2024-10-28T15:23:08.070119,1858.646845
Printer_10,2024-10-28T14:56:55.063237,2024-10-28T15:26:41.273270,1786.210033
Printer_9,2024-10-28T14:54:40.146702,2024-10-28T15:28:47.379393,2047.232691
Printer_2,2024-10-28T15:17:51.668974,2024-10-28T15:47:28.213180,1776.544206
Printer_1,2024-10-28T15:13:50.724662,2024-10-28T15:48:53.270529,2102.545867
Printer_3,2024-10-28T15:28:37.520105,2024-10-28T15:58:17.459057,1779.938952
Printer_4,2024-10-28T15:30:14.801548,2024-10-28T16:02:25.366394,1930.564846
Printer_5,2024-10-28T15:32:20.578603,2024-10-28T16:05:33.431316,1992.852713
Printer_6,2024-10-28T15:34:42.248425,2024-10-28T16:09:00.301624,2058.053199
Printer_7,2024-10-28T15:38:53.501589,2024-10-28T16:12:55.747540,2042.245951
Printer_8,2024-10-28T15:43:28.755783,2024-10-28T16:16:14.973721,1966.217938
Printer_9,2024-10-28T15:47:35.201954,2024-10-28T16:18:10.328496,1835.126542
Printer_10,2024-10-28T15:50:55.197863,2024-10-28T16:25:45.839793,2090.64193
Printer_1,2024-10-28T16:02:04.185838,2024-10-28T16:35:39.306844,2015.121006
Printer_2,2024-10-28T16:04:41.539133,2024-10-28T16:38:07.822360,2006.283227
Printer_3,2024-10-28T16:07:19.628309,2024-10-28T16:40:26.363824,1986.735515
Printer_4,2024-10-28T16:11:51.670867,2024-10-28T16:40:46.689499,1735.018632
Printer_5,2024-10-28T16:15:39.589311,2024-10-28T16:48:26.164149,1966.574838
Printer_6,2024-10-28T16:19:42.253683,2024-10-28T16:51:23.003631,1900.749948
Printer_7,2024-10-28T16:25:16.240102,2024-10-28T16:57:22.172957,1925.932855
Printer_8,2024-10-28T16:28:51.556699,2024-10-28T17:01:19.472437,1947.915738
Printer_10,2024-10-28T16:32:48.852912,2024-10-28T17:01:47.523130,1738.670218
Printer_9,2024-10-28T16:33:03.347652,2024-10-28T17:04:15.654528,1872.306876
Printer_1,2024-10-28T16:50:43.917175,2024-10-28T17:22:36.847247,1912.930072
Printer_2,2024-10-28T16:52:46.679712,2024-10-28T17:24:33.472792,1906.79308
Printer_3,2024-10-28T16:56:25.482084,2024-10-28T17:30:22.923308,2037.441224
Printer_4,2024-10-28T16:58:57.758252,2024-10-28T17:33:08.313334,2050.555082
Printer_5,2024-10-28T17:07:23.222287,2024-10-28T17:38:06.623771,1843.401484
Printer_6,2024-10-28T17:09:25.781679,2024-10-28T17:40:23.092177,1857.310498
Printer_7,2024-10-28T17:11:46.667962,2024-10-28T17:42:42.411165,1855.743203
Printer_8,2024-10-28T17:15:15.336193,2024-10-28T17:49:59.764638,2084.428445
Printer_9,2024-10-28T17:19:10.362228,2024-10-28T17:53:36.319676,2065.957448
Printer_10,2024-10-28T17:23:33.474878,2024-10-28T17:58:15.878647,2082.403769
Printer_1,2024-10-28T17:30:24.800126,2024-10-28T18:02:58.823326,1954.0232
Printer_2,2024-10-28T17:37:02.107988,2024-10-28T18:11:27.171785,2065.063797
Printer_3,2024-10-28T17:40:16.069173,2024-10-28T18:12:59.784784,1963.715611
Printer_4,2024-10-28T17:44:18.493395,2024-10-28T18:14:45.986761,1827.493366
Printer_5,2024-10-28T17:49:19.700843,2024-10-28T18:21:14.308167,1914.607324
Printer_6,2024-10-28T17:52:18.854326,2024-10-28T18:23:24.758404,1865.904078
Printer_7,2024-10-28T17:56:09.244231,2024-10-28T18:26:19.962351,1810.71812
Printer_8,2024-10-28T17:59:33.842922,2024-10-28T18:30:33.390716,1859.547794
Printer_9,2024-10-28T18:03:09.815058,2024-10-28T18:35:48.591184,1958.776126
Printer_10,2024-10-28T18:07:51.757677,2024-10-28T18:40:05.532112,1933.774435
Printer_1,2024-10-28T18:48:31.102971,2024-10-28T19:20:57.793801,1946.69083
Printer_2,2024-10-28T18:52:35.858734,2024-10-28T19:22:10.586279,1774.727545
Printer_3,2024-10-28T18:56:33.984728,2024-10-28T19:30:59.460601,2065.475873
Printer_4,2024-10-28T19:00:23.540632,2024-10-28T19:35:04.217149,2080.676517
Printer_5,2024-10-28T19:04:37.842271,2024-10-28T19:35:34.173648,1856.331377
Printer_6,2024-10-28T19:07:50.472497,2024-10-28T19:38:17.693162,1827.220665
Printer_7,2024-10-28T19:11:59.984679,2024-10-28T19:44:25.420167,1945.435488
Printer_8,2024-10-28T19:16:13.166990,2024-10-28T19:46:36.875767,1823.708777
Printer_9,2024-10-28T19:19:39.434981,2024-10-28T19:49:19.165371,1779.73039
Printer_10,2024-10-28T19:23:09.644381,2024-10-28T19:52:02.473349,1732.828968
Printer_1,2024-10-28T19:31:08.142681,2024-10-28T20:01:53.589907,1845.447226
Printer_3,2024-10-28T19:37:48.722993,2024-10-28T20:07:59.273098,1810.550105
Printer_2,2024-10-28T19:35:12.603715,2024-10-28T20:08:10.801511,1978.197796
Printer_4,2024-10-28T19:42:50.832455,2024-10-28T20:11:52.155978,1741.323523
Printer_5,2024-10-28T19:47:09.267939,2024-10-28T20:17:38.449661,1829.181722
Printer_6,2024-10-28T19:50:59.808459,2024-10-28T20:21:42.689972,1842.881513
Printer_7,2024-10-28T19:54:34.429361,2024-10-28T20:25:23.989701,1849.56034
Printer_8,2024-10-28T19:58:14.885278,2024-10-28T20:29:16.562160,1861.676882
Printer_9,2024-10-28T20:01:30.716608,2024-10-28T20:31:16.164957,1785.448349
Printer_10,2024-10-28T20:05:48.939561,2024-10-28T20:36:18.947395,1830.007834
Printer_2,2024-10-28T20:17:34.956319,2024-10-28T20:47:02.321264,1767.364945
Printer_1,2024-10-28T20:13:27.311481,2024-10-28T20:47:44.894948,2057.583467
Printer_3,2024-10-28T20:21:09.823347,2024-10-28T20:55:07.590062,2037.766715
Printer_5,2024-10-28T20:28:54.233728,2024-10-28T20:57:28.697648,1714.46392
Printer_4,2024-10-28T20:25:10.096674,2024-10-28T20:58:47.974347,2017.877673
Printer_7,2024-10-28T20:36:22.349765,2024-10-28T21:05:18.092241,1735.742476
Printer_6,2024-10-28T20:32:13.473023,2024-10-28T21:05:24.248569,1990.775546
Printer_8,2024-10-28T20:40:37.858014,2024-10-28T21:15:29.108816,2091.250802
Printer_9,2024-10-28T20:44:40.034073,2024-10-28T21:19:30.013596,2089.979523
Printer_10,2024-10-28T20:47:48.862842,2024-10-28T21:20:25.919310,1957.056468